movieId,title,genres
0,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy
1,Jumanji (1995),Adventure|Children|Fantasy
2,Heat (1995),Action|Crime|Thriller
3,GoldenEye (1995),Action|Adventure|Thriller
4,"American President, The (1995)",Comedy|Drama|Romance
5,Casino (1995),Crime|Drama
6,Sense and Sensibility (1995),Drama|Romance
7,Ace Ventura: When Nature Calls (1995),Comedy
8,Get Shorty (1995),Comedy|Crime|Thriller
9,Leaving Las Vegas (1995),Drama|Romance
10,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),Mystery|Sci-Fi|Thriller
11,Babe (1995),Children|Drama
12,Dead Man Walking (1995),Crime|Drama
13,Clueless (1995),Comedy|Romance
14,Seven (a.k.a. Se7en) (1995),Mystery|Thriller
15,Pocahontas (1995),Animation|Children|Drama|Musical|Romance
16,"Usual Suspects, The (1995)",Crime|Mystery|Thriller
17,Mr. Holland's Opus (1995),Drama
18,From Dusk Till Dawn (1996),Action|Comedy|Horror|Thriller
19,Broken Arrow (1996),Action|Adventure|Thriller
20,Happy Gilmore (1996),Comedy
21,Braveheart (1995),Action|Drama|War
22,Taxi Driver (1976),Crime|Drama|Thriller
23,"Birdcage, The (1996)",Comedy
24,Bad Boys (1995),Action|Comedy|Crime|Drama|Thriller
25,Apollo 13 (1995),Adventure|Drama|IMAX
26,Batman Forever (1995),Action|Adventure|Comedy|Crime
27,Casper (1995),Adventure|Children
28,Congo (1995),Action|Adventure|Mystery|Sci-Fi
29,Crimson Tide (1995),Drama|Thriller|War
30,Desperado (1995),Action|Romance|Western
31,Die Hard: With a Vengeance (1995),Action|Crime|Thriller
32,Johnny Mnemonic (1995),Action|Sci-Fi|Thriller
33,Judge Dredd (1995),Action|Crime|Sci-Fi
34,"Net, The (1995)",Action|Crime|Thriller
35,Waterworld (1995),Action|Adventure|Sci-Fi
36,Clerks (1994),Comedy
37,Dumb & Dumber (Dumb and Dumber) (1994),Adventure|Comedy
38,Ed Wood (1994),Comedy|Drama
39,Interview with the Vampire: The Vampire Chronicles (1994),Drama|Horror
40,Star Wars: Episode IV - A New Hope (1977),Action|Adventure|Sci-Fi
41,Legends of the Fall (1994),Drama|Romance|War|Western
42,Natural Born Killers (1994),Action|Crime|Thriller
43,Outbreak (1995),Action|Drama|Sci-Fi|Thriller
44,Léon: The Professional (a.k.a. The Professional) (Léon) (1994),Action|Crime|Drama|Thriller
45,Pulp Fiction (1994),Comedy|Crime|Drama|Thriller
46,Quiz Show (1994),Drama
47,Stargate (1994),Action|Adventure|Sci-Fi
48,"Santa Clause, The (1994)",Comedy|Drama|Fantasy
49,"Shawshank Redemption, The (1994)",Crime|Drama
50,Star Trek: Generations (1994),Adventure|Drama|Sci-Fi
51,What's Eating Gilbert Grape (1993),Drama
52,While You Were Sleeping (1995),Comedy|Romance
53,Ace Ventura: Pet Detective (1994),Comedy
54,Clear and Present Danger (1994),Action|Crime|Drama|Thriller
55,"Client, The (1994)",Drama|Mystery|Thriller
56,"Crow, The (1994)",Action|Crime|Fantasy|Thriller
57,Forrest Gump (1994),Comedy|Drama|Romance|War
58,Four Weddings and a Funeral (1994),Comedy|Romance
59,"Lion King, The (1994)",Adventure|Animation|Children|Drama|Musical|IMAX
60,"Mask, The (1994)",Action|Comedy|Crime|Fantasy
61,Maverick (1994),Adventure|Comedy|Western
62,Naked Gun 33 1/3: The Final Insult (1994),Action|Comedy
63,Speed (1994),Action|Romance|Thriller
64,True Lies (1994),Action|Adventure|Comedy|Romance|Thriller
65,Addams Family Values (1993),Children|Comedy|Fantasy
66,Beverly Hills Cop III (1994),Action|Comedy|Crime|Thriller
67,City Slickers II: The Legend of Curly's Gold (1994),Adventure|Comedy|Western
68,Cliffhanger (1993),Action|Adventure|Thriller
69,Coneheads (1993),Comedy|Sci-Fi
70,Dave (1993),Comedy|Romance
71,Demolition Man (1993),Action|Adventure|Sci-Fi
72,"Firm, The (1993)",Drama|Thriller
73,"Fugitive, The (1993)",Thriller
74,Hot Shots! Part Deux (1993),Action|Comedy|War
75,In the Line of Fire (1993),Action|Thriller
76,Jurassic Park (1993),Action|Adventure|Sci-Fi|Thriller
77,Last Action Hero (1993),Action|Adventure|Comedy|Fantasy
78,Mrs. Doubtfire (1993),Comedy|Drama
79,Philadelphia (1993),Drama
80,"Piano, The (1993)",Drama|Romance
81,Robin Hood: Men in Tights (1993),Comedy
82,Schindler's List (1993),Drama|War
83,Sleepless in Seattle (1993),Comedy|Drama|Romance
84,Blade Runner (1982),Action|Sci-Fi|Thriller
85,"Nightmare Before Christmas, The (1993)",Animation|Children|Fantasy|Musical
86,"Three Musketeers, The (1993)",Action|Adventure|Comedy|Romance
87,Tombstone (1993),Action|Drama|Western
88,True Romance (1993),Crime|Thriller
89,Home Alone (1990),Children|Comedy
90,Ghost (1990),Comedy|Drama|Fantasy|Romance|Thriller
91,Aladdin (1992),Adventure|Animation|Children|Comedy|Musical
92,Terminator 2: Judgment Day (1991),Action|Sci-Fi
93,Dances with Wolves (1990),Adventure|Drama|Western
94,Batman (1989),Action|Crime|Thriller
95,"Silence of the Lambs, The (1991)",Crime|Horror|Thriller
96,Snow White and the Seven Dwarfs (1937),Animation|Children|Drama|Fantasy|Musical
97,Beauty and the Beast (1991),Animation|Children|Fantasy|Musical|Romance|IMAX
98,Pinocchio (1940),Animation|Children|Fantasy|Musical
99,Pretty Woman (1990),Comedy|Romance
100,Fargo (1996),Comedy|Crime|Drama|Thriller
101,Mission: Impossible (1996),Action|Adventure|Mystery|Thriller
102,Dragonheart (1996),Action|Adventure|Fantasy
103,"Rock, The (1996)",Action|Adventure|Thriller
104,Twister (1996),Action|Adventure|Romance|Thriller
105,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964),Comedy|War
106,Trainspotting (1996),Comedy|Crime|Drama
107,Independence Day (a.k.a. ID4) (1996),Action|Adventure|Sci-Fi|Thriller
108,"Nutty Professor, The (1996)",Comedy|Fantasy|Romance|Sci-Fi
109,"Godfather, The (1972)",Crime|Drama
110,Vertigo (1958),Drama|Mystery|Romance|Thriller
111,Rear Window (1954),Mystery|Thriller
112,North by Northwest (1959),Action|Adventure|Mystery|Romance|Thriller
113,Casablanca (1942),Drama|Romance
114,"Wizard of Oz, The (1939)",Adventure|Children|Fantasy|Musical
115,Citizen Kane (1941),Drama|Mystery
116,2001: A Space Odyssey (1968),Adventure|Drama|Sci-Fi
117,It's a Wonderful Life (1946),Children|Drama|Fantasy|Romance
118,Mary Poppins (1964),Children|Comedy|Fantasy|Musical
119,"Sound of Music, The (1965)",Musical|Romance
120,Die Hard (1988),Action|Crime|Thriller
121,Willy Wonka & the Chocolate Factory (1971),Children|Comedy|Fantasy|Musical
122,"Fish Called Wanda, A (1988)",Comedy|Crime
123,Monty Python's Life of Brian (1979),Comedy
124,Reservoir Dogs (1992),Crime|Mystery|Thriller
125,Platoon (1986),Drama|War
126,E.T. the Extra-Terrestrial (1982),Children|Drama|Sci-Fi
127,Top Gun (1986),Action|Romance
128,"Abyss, The (1989)",Action|Adventure|Sci-Fi|Thriller
129,Monty Python and the Holy Grail (1975),Adventure|Comedy|Fantasy
130,Wallace & Gromit: The Wrong Trousers (1993),Animation|Children|Comedy|Crime
